Classification Report:
              precision    recall  f1-score   support

           0       0.99      0.97      0.98      4004
           1       0.83      0.96      0.89       691

    accuracy                           0.97      4695
   macro avg       0.91      0.96      0.94      4695
weighted avg       0.97      0.97      0.97      4695

ROC AUC Score: 0.9930
ROC curve saved as 'logistic_regression_roc_curve.png'

Incorrectly Classified Discourse Markers:
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'ah oh well I thought like a music stand type thing but then you do n't do music-y things'
Word: right, True Label: 0, Predicted Label: 1, Sentence: 'right presents'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'he 's so erm'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'it 's one of those oils like I got your mum some as well'
Word: socially, True Label: 1, Predicted Label: 0, Sentence: 'so you would go out there butt naked but that is perfectly socially acceptable'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'because they 're so weird'
Word: no, True Label: 0, Predicted Label: 1, Sentence: 'du n no'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'this feels like seeds as well'
Word: enough, True Label: 0, Predicted Label: 1, Sentence: 'cos I do n't have enough light'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'it 's got like a video of you and --ANONnameM doing the thing over the massive bouncy balls which is actually quite cool'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'the air 's all like muggy and dirty and weird and like you feel clogged up and like ca n't sweat properly'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'that would be quite weird if they were'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'organic ones and you 're like oh there we go we 'll just go for these like whatever'
Word: apparently, True Label: 1, Predicted Label: 0, Sentence: 'apparently there 's a lot of people saying this as well and I do n't'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'but like when you 're buying it off like a small estate like a small batch then yeah they would they would like you to take your time over your wine I 'm sure and like air it a bit'
Word: perhaps, True Label: 1, Predicted Label: 0, Sentence: 'er perhaps socialising or you might be but yeah you could get like an extra hour of it or something'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'see they are actually like quite comfortable if you put them on er just never gon na wear them I wo n't get down the hill in them basically so'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah I suppose technically my work shoes are kind of like slippers cos I only really wear them at work indoors I bet I think Forbidden Island 'll be a good one to do later as well cos'
Word: well, True Label: 0, Predicted Label: 1, Sentence: 'saw that and I was like well I 've got to get that for those two blatantly'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'yeah but it would go quite well in the upstairs bathroom once we decorated it we 're about to decorate the upstairs'
Word: much, True Label: 0, Predicted Label: 1, Sentence: '--ANONnameM this is perfect thank you so much'
Word: long, True Label: 0, Predicted Label: 1, Sentence: 'it 's four it 's four because the the long one is only four blocks long'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'like the idea of trying that'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'however for like months cos --ANONnameM said that I 'm making a secret thing you know that kind of thing and I like guessed almost straight off that he was making like bootleg alcohol for me for Christmas'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'yeah the lid like it 's vacuum sealed on so you have to ping it off I think I do n't really know I did the vacuum sealing bit and then I assumed it would all come off as one bit but I had to sort of'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'is he in the cabinet now ? we were like no'
Word: either, True Label: 0, Predicted Label: 1, Sentence: 'either way it 'd be pretty hilarious if the police arrived and you were just lying in the bath'
Word: much, True Label: 0, Predicted Label: 1, Sentence: 'did n't actually notice the orangey-ness that much though it was it was quite nice I think it tempered the sprouts'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'I can see for me they 're okay but I feel they are quite tight in the width and I know'
Word: usually, True Label: 1, Predicted Label: 0, Sentence: 'usually yeah'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'does n't like I du n no it always seems like food I du n no got teeth for chewing and'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'it smells like hippie shop'
Word: suddenly, True Label: 1, Predicted Label: 0, Sentence: 'well that happens to a lot of people I did n't used to like sprouts until suddenly we needed to cook sprouts'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'right so like what the manufacturers want you to taste is open aired'
Word: all, True Label: 1, Predicted Label: 0, Sentence: 'yeah the lid like it 's vacuum sealed on so you have to ping it off I think I do n't really know I did the vacuum sealing bit and then I assumed it would all come off as one bit but I had to sort of'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'I was quite enjoying it but'
Word: fairly, True Label: 1, Predicted Label: 0, Sentence: 'fairly disgusting'
Word: long, True Label: 0, Predicted Label: 1, Sentence: 'as long as I have water afterwards cos it burns my teeth'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'mm mm yeah like chocolate and chilli and stuff ?'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'yeah well that 's why I thought you guys might prefer that to the one that 's like a like takes like an hour and a half or whatever like'
Word: huh, True Label: 1, Predicted Label: 0, Sentence: 'huh ?'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'and the sort of like promise of having a go in their outdoor bath it 's like'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'it used to be like the mega easy way of choosing which wine to get because you would n't have to really bother looking at the leaflet'
Word: right, True Label: 0, Predicted Label: 1, Sentence: 'I 'm just right'
Word: quite, True Label: 0, Predicted Label: 1, Sentence: 'and it 's yeah I well I bought some like red ballet shoes from TK Maxx not long ago but like I overspent at TK Maxx quite significantly'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'if you do n't like turn if you 're like or if you if you give a terrible excuse you 're like are you coming out tonight ? no I'
Word: like, True Label: 0, Predicted Label: 1, Sentence: 'some if people are like that and they do n't like cooking and they do n't particularly like eating like mother'
Word: usually, True Label: 1, Predicted Label: 0, Sentence: 'erm quite like the orangey-ness cos it 's like a bit different do n't usually get'
Word: so, True Label: 0, Predicted Label: 1, Sentence: 'ah oh nice so we 've got eucalyptus er teak'
